word	tag	sense_se-id	sense_sy-id	D@A1	F@A1	SFI@A1	U@A1	tf-idf@A1	D@A2	F@A2	SFI@A2	U@A2	tf-idf@A2	D@B1	F@B1	SFI@B1	U@B1	tf-idf@B1	D@B2	F@B2	SFI@B2	U@B2	tf-idf@B2	D@C1	F@C1	SFI@C1	U@C1	tf-idf@C1	D@TOTAL	F@TOTAL	SFI@TOTAL	U@TOTAL	tf-idf@TOTAL
's avond	BW() N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	2	26.7697225387702	0.047530485878665825	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.0	2	17.259173627778264	0.005320070197459976	0.0
's avond	LID(bep) N(soort)	-	-	0.0	1	41.22181202741922	1.3248942117705695	0.22314355131420976	0.5032447153308321	27	59.361074918587505	86.31921692907096	6.024875885483664	0.41814912862187337	16	57.46304690652907	55.757679432550866	3.5702968210273562	-	-	-	-	-	0.0	1	53.33444136970088	21.54984431426566	0.22314355131420976	0.5177894606679966	45	58.1080612302616	64.685378396229	0.0
's middag	BW() N(soort)	-	-	-	-	-	-	-	0.0	1	22.52675121705692	0.017892668744487486	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	15.351461270332102	0.0034288313700392334	0.0
's middag	LID(bep) N(soort)	-	-	0.0	1	41.07395281685929	1.2805462883640233	0.22314355131420976	0.18002486524878292	3	45.37721518414648	3.4492249460417232	0.6694306539426294	0.12110367334688617	2	43.38514383487106	2.180290605477352	0.44628710262841953	0.0	1	33.34074391398249	0.2158114046297208	0.22314355131420976	-	-	-	-	-	0.2848698544595743	7	47.44730998812326	5.555600378313595	0.0
's morgen	BW() N(soort)	-	-	-	-	-	-	-	0.0	1	18.75181869530049	0.007502083083451031	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	11.576528748575674	0.0014376490273482884	0.0
's morgen	LID(bep) N(soort)	-	-	0.3491668600960898	4	60.41275095946038	109.9702205233365	0.8925742052568391	0.26373166066027987	5	49.25232276685115	8.418452711198963	1.1157177565710488	0.19194478095439876	3	46.96033893042808	4.966310778294464	0.6694306539426294	0.0	2	36.351043870622306	0.4316228092594416	0.44628710262841953	-	-	-	-	-	0.37184644550150286	14	51.607223012177236	14.478457686041246	0.0
's nacht	BW() N(soort)	-	-	-	-	-	-	-	0.0	1	14.954348656840303	0.003129211125717542	0.5108256237659907	0.0	1	24.753554163748994	0.029878267857253806	0.5108256237659907	0.0	1	33.569500886174325	0.227483597975632	0.5108256237659907	-	-	-	-	-	0.16083040778235247	3	41.29377619995986	1.347031091464727	0.0
's nacht	LID(bep) N(soort)	-	-	-	-	-	-	-	0.4681811396229488	20	57.750977323286335	59.57962046363897	10.216512475319814	0.33998099344963717	7	53.096640925776555	20.401593619436163	3.5757793663619353	0.0	1	33.569500886174325	0.227483597975632	0.5108256237659907	-	-	-	-	-	0.4733191350504195	28	55.66584127150673	36.862444114901166	0.0
's ochtend	BW() N(soort)	-	-	-	-	-	-	-	0.0	1	18.286495447194127	0.006739839347699322	0.5108256237659907	0.0	1	23.79691586379442	0.02397129995903811	0.5108256237659907	0.0	1	27.17273909683502	0.05215235324768856	0.5108256237659907	-	-	-	-	-	0.16083040778235247	3	41.27914985127725	1.3425021352812059	0.0
's ochtend	LID(bep) N(soort)	-	-	0.0	1	41.07395281685929	1.2805462883640233	0.0	0.26373166066027987	5	49.24513972440283	8.404540463683613	0.0	0.24220734669377234	4	49.119640094545154	8.165147029251347	0.0	0.22119457798535866	4	51.569022714043	14.351664437945933	0.0	0.0	1	53.33444136970088	21.54984431426566	0.0	0.3829130045699096	15	52.030419588844836	15.960333387965614	0.0
's	BW()	-	-	0.0	1	44.04648779797654	2.5389186150247736	0.22314355131420976	0.4375410491205446	17	56.75242354510557	47.34153708669815	3.793440372341566	0.3838895619087975	9	54.62256645077222	28.990562705788815	2.008291961827888	0.14746305199023912	2	46.96205583721377	4.9682745099768875	0.44628710262841953	-	-	-	-	-	0.47895616431188737	29	55.86526244759261	38.59457338961835	0.0
's	LID(bep)	-	-	0.0	1	44.366302210710145	2.732940779928413	0.5108256237659907	0.36004973049756583	9	53.15526743531041	20.678867169241325	4.597430613893916	0.24220734669377234	4	49.25058699158427	8.415088721360119	2.043302495063963	-	-	-	-	-	-	-	-	-	-	0.38634254400849094	14	51.779027204124326	15.062696322408804	0.0
[[:digit:]]+-jarig	ADJ()	-	-	-	-	-	-	-	0.0	2	21.808320628307747	0.015164638532323475	1.8325814637483102	-	-	-	-	-	0.0	1	26.551260029346576	0.04519870614799675	0.9162907318741551	-	-	-	-	-	0.09318194808307471	3	38.9154066896406	0.7790057601591269	0.0
[[:digit:]]+-jarige	ADJ()	-	-	-	-	-	-	-	0.26373166066027987	5	49.22767403135687	8.370808432552971	2.5541281188299534	0.33303510170393696	8	53.47473633706262	22.257359148505834	4.086604990127926	0.342398603373972	5	54.40365925895874	27.565503269349882	2.5541281188299534	-	-	-	-	-	0.4118587618304085	18	53.13697188749528	20.59193642577975	0.0
[[:digit:]]+-jarigen	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	2	25.511959191654956	0.0355791787357643	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.0	2	16.001410280663016	0.00398236468538189	0.0
[[:digit:]]+-kamerappartement	TW(hoofd)	-	-	-	-	-	-	-	0.0	1	20.199807703318307	0.01047082184374716	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	13.024517756593493	0.0020065582681171295	0.0
[[:digit:]]+-pits	ADJ()	-	-	-	-	-	-	-	0.0	1	20.199807703318307	0.01047082184374716	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	13.024517756593493	0.0020065582681171295	0.0
[[:digit:]]+-plusser	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	24.871736825521992	0.0307024959360746	0.9162907318741551	0.0	1	32.06629620820176	0.16092726145001043	0.9162907318741551	-	-	-	-	-	0.10147268954891664	2	37.5608380595779	0.570274307695865	0.0
[[:digit:]]+-urenweek	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	52.24194320186855	16.756924780872108	1.6094379124341003	0.0	1	15.466767463249376	0.0035210869225963423	0.0
[[:digit:]]+-uursplaats	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	2	24.38926150748225	0.027474269294026486	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.0	2	14.87871259649031	0.0030751850852369805	0.0
[[:digit:]]+-uurswinkel	N(soort)	-	-	-	-	-	-	-	0.0	1	19.871556289739807	0.009708578107995452	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	12.696266343014994	0.0018604869765683732	0.0
